Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2230581332,2.055485928,0.1869076305,17.06355004,21.18513773,-3.857808858,-1.655492522,-5.874439462,-0.4187817259,6.16194332,12.91393144,6.81314995,27.13683528,-6.829704742,-14.0736377,16.9476082,7.816343263,-4.687809713,-8.805834055,8.920287042,-17.59023576,0.664177638,-0.4156639685,7.611566485,18.50487082,-12.03375347,8.298275364,8.979311249,-0.9711309012,0.9233620867,5.254015487,4.14876025,-2.215285848,6.171056558,4.272050321,
Africa Eastern and Southern,AFE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.10603063,0.8153516996,0.4385763283,0.2627712729,1.226732624,0.3788156526,0.5420736632,0.06175259115,0.1518921712,-0.02097202511,0.3141940194,0.216816284,0.361513381,0.0506463974,0.4101799964,0.07138676591,0.2904387763,0.1563712114,0.2697141831,0.1889472179,0.032480002,0.4612905411,0.272028871,0.3539693445,0.5082726524,1.012657083,0.7942034778,2.083608849,1.584427632,2.439307873,1.553443521,4.822046509,2.487862218,2.478118268,1.859474113,2.057838843,1.267837466,2.473181444,3.233404733,2.601695571,1.636020109,1.838492283,2.529338914,2.186076109,2.752528273,3.108873057,1.890702632,0.9905036962,1.345126006,1.502827164,1.39868304,4.911575494,1.548934357
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.01315122436,0.02457527144,0.009401114677,0.0155769237,,,0.001565217384,-0.008126410603,,0.03245049587,0.2471357433,0.005174215983,,,,,,,,,,,,,,,,,,,,,1.297274208,1.273268943,3.579893949,4.352575349,3.413956577,1.942101296,0.4491197224,0.4616043182,1.220265701,0.2868182191,0.2812554993,0.2349261118,0.2091194349,0.8458115467,0.5193875121,0.2727187428,0.6484391728,0.1238041255,0.064388905,0.141265755,
Africa Western and Central,AFW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.556592978,2.084729298,1.853485439,1.827692328,1.064696703,1.566867094,0.8630605504,0.95544011,0.8722656849,0.8602657838,-0.2744893703,0.4302956014,0.4803533122,0.5681244828,0.3021546933,0.7839435364,0.1909995637,0.942447608,0.6284208033,1.882581335,0.6972611554,0.7068951505,1.037173773,1.836224695,2.755602091,0.8710008316,1.047458683,1.110795498,1.31492746,1.555638736,1.816368806,2.170840326,2.487861422,2.564228009,1.830276429,2.984380976,2.318435054,2.79936888,2.873845972,3.572202431,3.153490939,3.592458697,2.83527464,2.297211835,1.855933237,2.035162923,2.015877829,2.578836755,2.019859119,1.513939841,1.367303969,2.055035338,1.433201428
Angola,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0.630975104,0.8837068699,2.086485073,1.803662496,1.095005676,3.68013758,3.308572716,1.471968449,1.493756423,1.96044201,-2.981428692,5.230406071,1.90518257,2.733456973,5.022857986,8.495021078,2.398829075,5.382318076,17.12159065,40.16725096,9.62386631,24.00907534,11.40619182,20.08101439,9.32923924,-3.526657165,-0.0720009964,-1.368762391,1.896313901,3.13666067,-3.950097761,-2.763035293,-1.171719166,-5.337281076,2.664963835,11.49770191,-0.3601842893,-10.72495055,-8.299051356,-5.913333383,-3.715002553,-6.630262167,-6.183515029
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3.066661599,4.893212106,2.817723801,2.925485967,2.815941067,2.103152805,1.767895793,1.282641334,4.108775955,5.285432754,3.104827074,3.172708178,4.750174509,3.259767707,3.654851347,6.108979651,9.682070867,11.17064322,9.138131215,8.135336162,7.451354932,9.816284551,8.693038722,8.69053392,8.805091978,7.855448267,7.946355675,7.797920508,7.055092209,6.796140804,7.633590721
Andorra,AND,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.4721811228,-0.0827096785,0.2669021298,-0.8067420688,-2.889708932,1.407685895,0.07356847829,0.6549858252,0.5689303551,0.09748565397,-0.4925018531,1.773985381,2.942339496,1.529291122,1.578590073,0.4846539358,0.6589135265,0.02642407788,0.3830281829,0.2770149264,0.4769067905,0.4534068796,0.7392982386,0.9033275274,0.9737752463,0.05511823961,0.5970934678,1.356880416,1.487512952,0.4242290625,0.4689642463,1.11022964,0.7635648628,1.635658317,2.01481054,3.534083244,4.496589818,4.551149118,3.924229534,3.858437216,2.998381612,1.754231566,1.814529982,1.4536518,1.076291988,1.005147059,1.290421765,1.149833628,1.214770748,1.360994936,1.48414645,1.907471304,1.544659485
United Arab Emirates,ARE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,0.1083506171,0.2572716273,0.451274584,0.1645372903,0.2068170788,0.2239492684,-0.03433777463,0.2038920141,0.1063936076,0.4071952409,-0.5441875268,0.324685539,0.1284048841,0.520707069,0.09354878505,-0.2284353094,0.05031796373,0.2391629435,0.7214719489,0.1053197893,0.6081954671,0.4084748666,0.2948159859,0.340485312,-1.166835786,-0.4852815328,1.14589217,0.08678136614,3.422662713,6.767152113,6.034816039,5.765437532,5.500439718,1.604874609,0.447367364,3.035593695,2.039574591,2.487363363,2.439895657,2.673603848,2.309335225,2.601119691,2.651415482,2.43186976,4.276339458,5.689843791,4.979769957,4.479801193
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.2842242971,0.3774644775,0.2064895022,0.1907924783,0.02473881453,0.1060095983,0.4781754766,0.2536059593,0.2807428809,0.2974629202,0.8809551101,1.06384544,0.269252481,0.1779203589,0.2292262589,1.042530577,0.5421622146,-0.01746148829,0.9039308656,1.341515906,1.298879263,1.285578854,1.936793864,1.179802812,1.411953029,2.17392759,2.553203406,3.127877939,2.438768962,8.460582171,3.665790595,0.8061641348,2.198958195,1.294810869,2.505017516,2.649354415,2.381068545,2.251294236,2.689900965,1.206439226,2.675161719,2.044659768,2.8066719,1.779205536,0.9624066503,1.977134618,0.5847489446,1.789365033,2.23253155,1.485006865,1.266826405,1.416760243,2.435061692
