"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1584995822","","","","","","","","","","7.01444219565","","","","","","","","","","","","","","","7.53031525528","","","","","","","",
"Africa Eastern and Southern","AFE","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","337.285573264735","","","","","","","","","","420.034032004954","","","","","","","","","","","","","","","588.728409064831","","","","","","","",
"Afghanistan","AFG","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Africa Western and Central","AFW","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1518.22365419099","","","","","","","","","","1820.36061377482","","","","","","","","","","","","","","","2368.04412004448","","","","","","","",
"Angola","AGO","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.73146248616","","","","","","","","","","37.9020858131","","","","","","","","","","","","","","","90.1217129075","","","","","","","",
"Albania","ALB","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.1409350654","","","","","","","","","","60.1973705819","","","","","","","","","","","","","","","66.3642524301","","","","","","","",
"Andorra","AND","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Arab World","ARB","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5329.62253313553","","","","","","","","","","6306.49645520029","","","","","","","","","","","","","","","7613.17791264053","","","","","","","",
"United Arab Emirates","ARE","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350.267373255","","","","","","","","","","398.185361353","","","","","","","","","","","","","","","528.992171223","","","","","","","",
"Argentina","ARG","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142.9918083302","","","","","","","","","","208.441967183","","","","","","","","","","","","","","","243.1406743961","","","","","","","",
"Armenia","ARM","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"American Samoa","ASM","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.776141925715","","","","","","","","","","0.776141925715","","","","","","","","","","","","","","","1.50120539311","","","","","","","",
"Antigua and Barbuda","ATG","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.62902817596","","","","","","","","","","2.87217104342","","","","","","","","","","","","","","","3.35095468443","","","","","","","",
"Australia","AUS","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","615.962818936","","","","","","","","","","672.747423413","","","","","","","","","","","","","","","751.940530185","","","","","","","",
"Austria","AUT","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Azerbaijan","AZE","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Burundi","BDI","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Belgium","BEL","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","445.2192032413","","","","","","","","","","471.848414638","","","","","","","","","","","","","","","521.040531427","","","","","","","",
"Benin","BEN","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133.3081267786","","","","","","","","","","179.9525318152","","","","","","","","","","","","","","","247.000451546","","","","","","","",
"Burkina Faso","BFA","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Bangladesh","BGD","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5770.626537634","","","","","","","","","","6429.14548963","","","","","","","","","","","","","","","7024.52142433","","","","","","","",
"Bulgaria","BGR","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.9288821003","","","","","","","","","","34.8884947623","","","","","","","","","","","","","","","37.5406846341","","","","","","","",
"Bahrain","BHR","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.7339671668","","","","","","","","","","97.0457912318","","","","","","","","","","","","","","","108.0431304066","","","","","","","",
"Bahamas, The","BHS","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.60090366299","","","","","","","","","","20.1580994405","","","","","","","","","","","","","","","24.3587984796","","","","","","","",
"Bosnia and Herzegovina","BIH","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Belarus","BLR","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Belize","BLZ","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4812423163","","","","","","","","","","33.6219570063","","","","","","","","","","","","","","","41.4774380864","","","","","","","",
"Bermuda","BMU","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.16590588004","","","","","","","","","","7.67348911357","","","","","","","","","","","","","","","11.1720046881","","","","","","","",
"Bolivia","BOL","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Brazil","BRA","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1114.868972724","","","","","","","","","","1301.687383384","","","","","","","","","","","","","","","1503.744113778","","","","","","","",
"Barbados","BRB","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.71171561403","","","","","","","","","","6.01663484944","","","","","","","","","","","","","","","6.16529229431","","","","","","","",
"Brunei Darussalam","BRN","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5893631375","","","","","","","","","","29.3479381765","","","","","","","","","","","","","","","34.03337994945","","","","","","","",
"Bhutan","BTN","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Botswana","BWA","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Central African Republic","CAF","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Canada","CAN","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","216.424215591","","","","","","","","","","236.593367189","","","","","","","","","","","","","","","290.630492934","","","","","","","",
"Central Europe and the Baltics","CEB","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","473.43607644793","","","","","","","","","","479.01247116045","","","","","","","","","","","","","","","494.35536613525","","","","","","","",
"Switzerland","CHE","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Channel Islands","CHI","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.9404601454","","","","","","","","","","58.8947509555","","","","","","","","","","","","","","","66.5406008872","","","","","","","",
